Algoritmo;Tamanho;Caso;Tempo(s);Comparacoes;Trocas
Insertion;1000;Medio;0.000428;253869;254873
Insertion;1000;Melhor;0.000003;999;1998
Insertion;1000;Pior;0.000877;499500;501498
Insertion;2000;Medio;0.001755;1032536;1034542
Insertion;2000;Melhor;0.000007;1999;3998
Insertion;2000;Pior;0.003663;1999000;2002998
Insertion;3000;Medio;0.003841;2267258;2270265
Insertion;3000;Melhor;0.000013;2999;5998
Insertion;3000;Pior;0.007750;4498500;4504498
Insertion;4000;Medio;0.007169;4034858;4038865
Insertion;4000;Melhor;0.000015;3999;7998
Insertion;4000;Pior;0.014044;7998000;8005998
Insertion;5000;Medio;0.011105;6226005;6231012
Insertion;5000;Melhor;0.000017;4999;9998
Insertion;5000;Pior;0.021610;12497500;12507498
Insertion;6000;Medio;0.015472;9040131;9046138
Insertion;6000;Melhor;0.000025;5999;11998
Insertion;6000;Pior;0.032595;17997000;18008998
Insertion;7000;Medio;0.021267;12281821;12288828
Insertion;7000;Melhor;0.000027;6999;13998
Insertion;7000;Pior;0.043440;24496500;24510498
Insertion;8000;Medio;0.027893;15996754;16004761
Insertion;8000;Melhor;0.000026;7999;15998
Insertion;8000;Pior;0.056449;31996000;32011998
Insertion;9000;Medio;0.035052;20255335;20264343
Insertion;9000;Melhor;0.000037;8999;17998
Insertion;9000;Pior;0.071278;40495500;40513498
Insertion;10000;Medio;0.043677;25117958;25127966
Insertion;10000;Melhor;0.000039;9999;19998
Insertion;10000;Pior;0.088343;49995000;50014996
Insertion;11000;Medio;0.052835;30264614;30275622
Insertion;11000;Melhor;0.000046;10999;21998
Insertion;11000;Pior;0.106953;60494500;60516496
Insertion;12000;Medio;0.063073;36000415;36012423
Insertion;12000;Melhor;0.000048;11999;23998
Insertion;12000;Pior;0.127572;71994000;72017995
Insertion;13000;Medio;0.073791;42248316;42261324
Insertion;13000;Melhor;0.000054;12999;25998
Insertion;13000;Pior;0.150865;84493500;84519495
Insertion;14000;Medio;0.086030;48914643;48928651
Insertion;14000;Melhor;0.000056;13999;27998
Insertion;14000;Pior;0.173687;97993000;98020995
Insertion;15000;Medio;0.100498;56303481;56318489
Insertion;15000;Melhor;0.000063;14999;29998
Insertion;15000;Pior;0.200926;112492500;112522495
Insertion;16000;Medio;0.114303;64141550;64157558
Insertion;16000;Melhor;0.000066;15999;31998
Insertion;16000;Pior;0.230175;127992000;128023993
Insertion;17000;Medio;0.129291;72336856;72353864
Insertion;17000;Melhor;0.000071;16999;33998
Insertion;17000;Pior;0.261091;144491500;144525492
Insertion;18000;Medio;0.145602;81208656;81226664
Insertion;18000;Melhor;0.000078;17999;35998
Insertion;18000;Pior;0.293832;161991000;162026989
Insertion;19000;Medio;0.163524;90795265;90814273
Insertion;19000;Melhor;0.000076;18999;37998
Insertion;19000;Pior;0.347211;180490500;180528489
Insertion;20000;Medio;0.176600;100406498;100426506
Insertion;20000;Melhor;0.000078;19999;39998
Insertion;20000;Pior;0.357509;199990000;200029988
