Algoritmo;Tamanho;Caso;Tempo(s);Comparacoes;Trocas
Insertion;1000;Medio;0.000438;253869;254873
Insertion;1000;Melhor;0.000004;999;1998
Insertion;1000;Pior;0.000852;499500;501498
Insertion;2000;Medio;0.001746;1032536;1034542
Insertion;2000;Melhor;0.000006;1999;3998
Insertion;2000;Pior;0.003434;1999000;2002998
Insertion;3000;Medio;0.003909;2267258;2270265
Insertion;3000;Melhor;0.000013;2999;5998
Insertion;3000;Pior;0.007844;4498500;4504498
Insertion;4000;Medio;0.006936;4034858;4038865
Insertion;4000;Melhor;0.000016;3999;7998
Insertion;4000;Pior;0.013903;7998000;8005998
Insertion;5000;Medio;0.010717;6226005;6231012
Insertion;5000;Melhor;0.000021;4999;9998
Insertion;5000;Pior;0.022640;12497500;12507498
Insertion;6000;Medio;0.015611;9040131;9046138
Insertion;6000;Melhor;0.000025;5999;11998
Insertion;6000;Pior;0.031848;17997000;18008998
Insertion;7000;Medio;0.021773;12281821;12288828
Insertion;7000;Melhor;0.000029;6999;13998
Insertion;7000;Pior;0.043635;24496500;24510498
Insertion;8000;Medio;0.027870;15996754;16004761
Insertion;8000;Melhor;0.000034;7999;15998
Insertion;8000;Pior;0.056838;31996000;32011998
Insertion;9000;Medio;0.035871;20255335;20264343
Insertion;9000;Melhor;0.000037;8999;17998
Insertion;9000;Pior;0.072281;40495500;40513498
Insertion;10000;Medio;0.044216;25117958;25127966
Insertion;10000;Melhor;0.000040;9999;19998
Insertion;10000;Pior;0.090043;49995000;50014996
Insertion;11000;Medio;0.053362;30264614;30275622
Insertion;11000;Melhor;0.000045;10999;21998
Insertion;11000;Pior;0.107932;60494500;60516496
Insertion;12000;Medio;0.063958;36000415;36012423
Insertion;12000;Melhor;0.000050;11999;23998
Insertion;12000;Pior;0.127989;71994000;72017995
Insertion;13000;Medio;0.074345;42248316;42261324
Insertion;13000;Melhor;0.000052;12999;25998
Insertion;13000;Pior;0.151206;84493500;84519495
Insertion;14000;Medio;0.086815;48914643;48928651
Insertion;14000;Melhor;0.000055;13999;27998
Insertion;14000;Pior;0.175997;97993000;98020995
Insertion;15000;Medio;0.100112;56303481;56318489
Insertion;15000;Melhor;0.000059;14999;29998
Insertion;15000;Pior;0.201667;112492500;112522495
Insertion;16000;Medio;0.114373;64141550;64157558
Insertion;16000;Melhor;0.000059;15999;31998
Insertion;16000;Pior;0.233422;127992000;128023993
Insertion;17000;Medio;0.142228;72336856;72353864
Insertion;17000;Melhor;0.000072;16999;33998
Insertion;17000;Pior;0.283574;144491500;144525492
Insertion;18000;Medio;0.144408;81208656;81226664
Insertion;18000;Melhor;0.000064;17999;35998
Insertion;18000;Pior;0.299152;161991000;162026989
Insertion;19000;Medio;0.176080;90795265;90814273
Insertion;19000;Melhor;0.000078;18999;37998
Insertion;19000;Pior;0.352935;180490500;180528489
Insertion;20000;Medio;0.191230;100406498;100426506
Insertion;20000;Melhor;0.000080;19999;39998
Insertion;20000;Pior;0.361774;199990000;200029988
Insertion;21000;Medio;0.199295;110971870;110992878
Insertion;21000;Melhor;0.000086;20999;41998
Insertion;21000;Pior;0.410933;220489500;220531487
Insertion;22000;Medio;0.215867;122161474;122183483
Insertion;22000;Melhor;0.000086;21999;43998
Insertion;22000;Pior;0.465164;241989000;242032987
Insertion;23000;Medio;0.243694;133128267;133151276
Insertion;23000;Melhor;0.000098;22999;45998
Insertion;23000;Pior;0.479166;264488500;264534484
Insertion;24000;Medio;0.257746;144392758;144416767
Insertion;24000;Melhor;0.000098;23999;47998
Insertion;24000;Pior;0.519840;287988000;288035982
Insertion;25000;Medio;0.281600;156652315;156677324
Insertion;25000;Melhor;0.000109;24999;49998
Insertion;25000;Pior;0.567570;312487500;312537482
Insertion;26000;Medio;0.304612;169734482;169760491
Insertion;26000;Melhor;0.000100;25999;51998
Insertion;26000;Pior;0.653361;337987000;338038981
Insertion;27000;Medio;0.325971;182871030;182898039
Insertion;27000;Melhor;0.000102;26999;53998
Insertion;27000;Pior;0.655149;364486500;364540480
Insertion;28000;Medio;0.350201;196539418;196567427
Insertion;28000;Melhor;0.000102;27999;55998
Insertion;28000;Pior;0.706681;391986000;392041980
Insertion;29000;Medio;0.375900;210622909;210651918
Insertion;29000;Melhor;0.000117;28999;57998
Insertion;29000;Pior;0.
